patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,030499462191,08/05/1954,0847731834,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Khỏe mạnh,7.37,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hà Bùi,631466942879,09/07/1948,0574344717,jane94@example.org,"18 Hoàng Tổ
Thành phố JohnPhường, 338968",Huyết áp cao,5.86,Vũ Phạm,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Phúc Phú Đặng,791454128192,15/11/1963,0900514885,john92@example.net,"64 Jane Đường
Thành phố JaneThị xã, 380746",Khỏe mạnh,7.08,Lâm Hoàng,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Anh Anh Lê,127071301863,03/12/1968,0876355001,jane96@example.com,"7 John Ngõ
Quận JaneXã, 166613",Khỏe mạnh,4.06,Kim Mai Mai,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Dương Trần,464129423193,03/09/1971,0981086717,john46@example.org,"2 Jane Làng
Huyện JohnXã, 916449",Huyết áp cao,10.69,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Quang Nguyễn,433831704878,21/02/1968,0792128020,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Tim mạch,5.05,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hương Đặng,849138715046,22/03/1938,0826041731,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Khỏe mạnh,11.04,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Huy Bảo Dương,242772462161,24/09/1942,0555978465,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Huyết áp cao,4.66,Ông Hưng Mai,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Chị Hồng Dương,487331215437,14/11/2000,0597698692,janenguyen@example.org,"74 Mai Dãy
Quận JaneQuận, 161324",Khỏe mạnh,6.67,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Trần,201186824328,25/08/1960,0375903808,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Tim mạch,9.9,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Vũ Văn Dương,410370326117,19/12/1948,0537092032,maijohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Huyết áp cao,5.14,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,918242582768,06/11/2001,0873626390,john16@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Huyết áp cao,5.55,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Xuân Đặng,472141624238,13/12/1963,0711647035,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Khỏe mạnh,7.73,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Ánh Dương,090604463117,19/08/1965,0894744335,janedang@example.com,"036 Vũ Ngõ
JanePhường, 634150",Tiểu đường,10.1,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Hưng Trần,028309938113,03/07/1994,0946164818,jane69@example.net,"06 John Tổ
JohnPhường, 446239",Tiểu đường,5.36,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,979785394468,20/06/1961,0521734664,rbui@example.net,"80 Vũ Làng
JaneThị xã, 563246",Khỏe mạnh,11.18,Anh Minh Dương,02/02/2026
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Vũ Hải Vũ,405080617563,06/12/1965,0333360798,johnnguyen@example.org,"1 Bùi Làng
JaneThị xã, 355836",Tiểu đường,4.95,Cô Hà Bùi,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Ông Tùng Phạm,051058570622,16/11/1951,0540768968,zle@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Huyết áp cao,3.93,Bà Vi Mai,05/04/2026
